symbol,signal_time,entry_time,expiration_minutes,action,pattern,score,entry_price,exit_time,exit_price,result
EURUSD,2026-09-15T15:35:00+00:00,2026-09-15T15:36:00+00:00,5,PUT,BEARISH_ENGULFING,45,1.15429,2026-09-15T15:41:00+00:00,1.15411,WIN
EURUSD,2026-09-15T15:35:00+00:00,2026-09-15T15:36:00+00:00,10,PUT,BEARISH_ENGULFING,45,1.15429,2026-09-15T15:46:00+00:00,1.15409,WIN
EURUSD,2026-09-15T15:35:00+00:00,2026-09-15T15:36:00+00:00,15,PUT,BEARISH_ENGULFING,45,1.15429,2026-09-15T15:51:00+00:00,1.15403,WIN
EURUSD,2026-09-15T15:37:00+00:00,2026-09-15T15:38:00+00:00,1,PUT,BEARISH_ENGULFING,45,1.15411,2026-09-15T15:39:00+00:00,1.15404,WIN
EURUSD,2026-09-15T15:37:00+00:00,2026-09-15T15:38:00+00:00,2,PUT,BEARISH_ENGULFING,45,1.15411,2026-09-15T15:40:00+00:00,1.15416,LOSS
EURUSD,2026-09-15T15:37:00+00:00,2026-09-15T15:38:00+00:00,3,PUT,BEARISH_ENGULFING,45,1.15411,2026-09-15T15:41:00+00:00,1.15411,DRAW
EURUSD,2026-09-15T15:37:00+00:00,2026-09-15T15:38:00+00:00,5,PUT,BEARISH_ENGULFING,45,1.15411,2026-09-15T15:43:00+00:00,1.15411,DRAW
EURUSD,2026-09-15T15:37:00+00:00,2026-09-15T15:38:00+00:00,10,PUT,BEARISH_ENGULFING,45,1.15411,2026-09-15T15:48:00+00:00,1.1541,WIN
EURUSD,2026-09-15T15:37:00+00:00,2026-09-15T15:38:00+00:00,15,PUT,BEARISH_ENGULFING,45,1.15411,2026-09-15T15:53:00+00:00,1.15418,LOSS
EURUSD,2026-09-15T15:38:00+00:00,2026-09-15T15:39:00+00:00,1,PUT,BEARISH_BREAKOUT,49,1.15404,2026-09-15T15:40:00+00:00,1.15416,LOSS
EURUSD,2026-09-15T15:38:00+00:00,2026-09-15T15:39:00+00:00,2,PUT,BEARISH_BREAKOUT,49,1.15404,2026-09-15T15:41:00+00:00,1.15411,LOSS
EURUSD,2026-09-15T15:38:00+00:00,2026-09-15T15:39:00+00:00,3,PUT,BEARISH_BREAKOUT,49,1.15404,2026-09-15T15:42:00+00:00,1.15409,LOSS
EURUSD,2026-09-15T15:38:00+00:00,2026-09-15T15:39:00+00:00,5,PUT,BEARISH_BREAKOUT,49,1.15404,2026-09-15T15:44:00+00:00,1.15406,LOSS
EURUSD,2026-09-15T15:38:00+00:00,2026-09-15T15:39:00+00:00,10,PUT,BEARISH_BREAKOUT,49,1.15404,2026-09-15T15:49:00+00:00,1.15391,WIN
EURUSD,2026-09-15T15:38:00+00:00,2026-09-15T15:39:00+00:00,15,PUT,BEARISH_BREAKOUT,49,1.15404,2026-09-15T15:54:00+00:00,1.15401,WIN
EURUSD,2026-09-15T15:39:00+00:00,2026-09-15T15:40:00+00:00,1,PUT,BEARISH_BREAKOUT,49,1.15416,2026-09-15T15:41:00+00:00,1.15411,WIN
EURUSD,2026-09-15T15:39:00+00:00,2026-09-15T15:40:00+00:00,2,PUT,BEARISH_BREAKOUT,49,1.15416,2026-09-15T15:42:00+00:00,1.15409,WIN
EURUSD,2026-09-15T15:39:00+00:00,2026-09-15T15:40:00+00:00,3,PUT,BEARISH_BREAKOUT,49,1.15416,2026-09-15T15:43:00+00:00,1.15411,WIN
EURUSD,2026-09-15T15:39:00+00:00,2026-09-15T15:40:00+00:00,5,PUT,BEARISH_BREAKOUT,49,1.15416,2026-09-15T15:45:00+00:00,1.15397,WIN
EURUSD,2026-09-15T15:39:00+00:00,2026-09-15T15:40:00+00:00,10,PUT,BEARISH_BREAKOUT,49,1.15416,2026-09-15T15:50:00+00:00,1.1541,WIN
EURUSD,2026-09-15T15:39:00+00:00,2026-09-15T15:40:00+00:00,15,PUT,BEARISH_BREAKOUT,49,1.15416,2026-09-15T15:55:00+00:00,1.15431,LOSS
EURUSD,2026-09-15T15:40:00+00:00,2026-09-15T15:41:00+00:00,1,PUT,BULLISH_ENGULFING,33,1.15411,2026-09-15T15:42:00+00:00,1.15409,WIN
EURUSD,2026-09-15T15:40:00+00:00,2026-09-15T15:41:00+00:00,2,PUT,BULLISH_ENGULFING,33,1.15411,2026-09-15T15:43:00+00:00,1.15411,DRAW
EURUSD,2026-09-15T15:40:00+00:00,2026-09-15T15:41:00+00:00,3,PUT,BULLISH_ENGULFING,33,1.15411,2026-09-15T15:44:00+00:00,1.15406,WIN
EURUSD,2026-09-15T15:40:00+00:00,2026-09-15T15:41:00+00:00,5,PUT,BULLISH_ENGULFING,33,1.15411,2026-09-15T15:46:00+00:00,1.15409,WIN
EURUSD,2026-09-15T15:40:00+00:00,2026-09-15T15:41:00+00:00,10,PUT,BULLISH_ENGULFING,33,1.15411,2026-09-15T15:51:00+00:00,1.15403,WIN
EURUSD,2026-09-15T15:40:00+00:00,2026-09-15T15:41:00+00:00,15,PUT,BULLISH_ENGULFING,33,1.15411,2026-09-15T15:56:00+00:00,1.15414,LOSS
EURUSD,2026-09-15T15:41:00+00:00,2026-09-15T15:42:00+00:00,1,PUT,BEARISH_CANDLE,37,1.15409,2026-09-15T15:43:00+00:00,1.15411,LOSS
EURUSD,2026-09-15T15:41:00+00:00,2026-09-15T15:42:00+00:00,2,PUT,BEARISH_CANDLE,37,1.15409,2026-09-15T15:44:00+00:00,1.15406,WIN
EURUSD,2026-09-15T15:41:00+00:00,2026-09-15T15:42:00+00:00,3,PUT,BEARISH_CANDLE,37,1.15409,2026-09-15T15:45:00+00:00,1.15397,WIN
EURUSD,2026-09-15T15:41:00+00:00,2026-09-15T15:42:00+00:00,5,PUT,BEARISH_CANDLE,37,1.15409,2026-09-15T15:47:00+00:00,1.15408,WIN
EURUSD,2026-09-15T15:41:00+00:00,2026-09-15T15:42:00+00:00,10,PUT,BEARISH_CANDLE,37,1.15409,2026-09-15T15:52:00+00:00,1.15414,LOSS
EURUSD,2026-09-15T15:41:00+00:00,2026-09-15T15:42:00+00:00,15,PUT,BEARISH_CANDLE,37,1.15409,2026-09-15T15:57:00+00:00,1.15414,LOSS
EURUSD,2026-09-15T15:42:00+00:00,2026-09-15T15:43:00+00:00,1,PUT,BEARISH_CANDLE,42,1.15411,2026-09-15T15:44:00+00:00,1.15406,WIN
EURUSD,2026-09-15T15:42:00+00:00,2026-09-15T15:43:00+00:00,2,PUT,BEARISH_CANDLE,42,1.15411,2026-09-15T15:45:00+00:00,1.15397,WIN
EURUSD,2026-09-15T15:42:00+00:00,2026-09-15T15:43:00+00:00,3,PUT,BEARISH_CANDLE,42,1.15411,2026-09-15T15:46:00+00:00,1.15409,WIN
EURUSD,2026-09-15T15:42:00+00:00,2026-09-15T15:43:00+00:00,5,PUT,BEARISH_CANDLE,42,1.15411,2026-09-15T15:48:00+00:00,1.1541,WIN
EURUSD,2026-09-15T15:42:00+00:00,2026-09-15T15:43:00+00:00,10,PUT,BEARISH_CANDLE,42,1.15411,2026-09-15T15:53:00+00:00,1.15418,LOSS
EURUSD,2026-09-15T15:42:00+00:00,2026-09-15T15:43:00+00:00,15,PUT,BEARISH_CANDLE,42,1.15411,2026-09-15T15:58:00+00:00,1.15418,LOSS
EURUSD,2026-09-15T15:44:00+00:00,2026-09-15T15:45:00+00:00,1,PUT,BEARISH_REJECTION,35,1.15397,2026-09-15T15:46:00+00:00,1.15409,LOSS
EURUSD,2026-09-15T15:44:00+00:00,2026-09-15T15:45:00+00:00,2,PUT,BEARISH_REJECTION,35,1.15397,2026-09-15T15:47:00+00:00,1.15408,LOSS
EURUSD,2026-09-15T15:44:00+00:00,2026-09-15T15:45:00+00:00,3,PUT,BEARISH_REJECTION,35,1.15397,2026-09-15T15:48:00+00:00,1.1541,LOSS
EURUSD,2026-09-15T15:44:00+00:00,2026-09-15T15:45:00+00:00,5,PUT,BEARISH_REJECTION,35,1.15397,2026-09-15T15:50:00+00:00,1.1541,LOSS
EURUSD,2026-09-15T15:44:00+00:00,2026-09-15T15:45:00+00:00,10,PUT,BEARISH_REJECTION,35,1.15397,2026-09-15T15:55:00+00:00,1.15431,LOSS
EURUSD,2026-09-15T15:44:00+00:00,2026-09-15T15:45:00+00:00,15,PUT,BEARISH_REJECTION,35,1.15397,2026-09-15T16:00:00+00:00,1.15416,LOSS
EURUSD,2026-09-15T15:45:00+00:00,2026-09-15T15:46:00+00:00,1,PUT,BEARISH_BREAKOUT,52,1.15409,2026-09-15T15:47:00+00:00,1.15408,WIN
EURUSD,2026-09-15T15:45:00+00:00,2026-09-15T15:46:00+00:00,2,PUT,BEARISH_BREAKOUT,52,1.15409,2026-09-15T15:48:00+00:00,1.1541,LOSS
EURUSD,2026-09-15T15:45:00+00:00,2026-09-15T15:46:00+00:00,3,PUT,BEARISH_BREAKOUT,52,1.15409,2026-09-15T15:49:00+00:00,1.15391,WIN
EURUSD,2026-09-15T15:45:00+00:00,2026-09-15T15:46:00+00:00,5,PUT,BEARISH_BREAKOUT,52,1.15409,2026-09-15T15:51:00+00:00,1.15403,WIN
EURUSD,2026-09-15T15:45:00+00:00,2026-09-15T15:46:00+00:00,10,PUT,BEARISH_BREAKOUT,52,1.15409,2026-09-15T15:56:00+00:00,1.15414,LOSS
EURUSD,2026-09-15T15:45:00+00:00,2026-09-15T15:46:00+00:00,15,PUT,BEARISH_BREAKOUT,52,1.15409,2026-09-15T16:01:00+00:00,1.15424,LOSS
EURUSD,2026-09-15T15:46:00+00:00,2026-09-15T15:47:00+00:00,1,PUT,BULLISH_ENGULFING,36,1.15408,2026-09-15T15:48:00+00:00,1.1541,LOSS
EURUSD,2026-09-15T15:46:00+00:00,2026-09-15T15:47:00+00:00,2,PUT,BULLISH_ENGULFING,36,1.15408,2026-09-15T15:49:00+00:00,1.15391,WIN
EURUSD,2026-09-15T15:46:00+00:00,2026-09-15T15:47:00+00:00,3,PUT,BULLISH_ENGULFING,36,1.15408,2026-09-15T15:50:00+00:00,1.1541,LOSS
EURUSD,2026-09-15T15:46:00+00:00,2026-09-15T15:47:00+00:00,5,PUT,BULLISH_ENGULFING,36,1.15408,2026-09-15T15:52:00+00:00,1.15414,LOSS
EURUSD,2026-09-15T15:46:00+00:00,2026-09-15T15:47:00+00:00,10,PUT,BULLISH_ENGULFING,36,1.15408,2026-09-15T15:57:00+00:00,1.15414,LOSS
